id_autor,autor_genero,nombre_autor,autor_rating_promedio,cantidad_rating_autor,cantidad_comentarios,id_pais
3028,Femenino,Loung Ung,4.31,28535,2655,37
14196420,Femenino,Imbolo Mbue,3.95,40389,4632,38
55474,Femenino,Cherry Adair,3.96,49606,3124,209
90581,Masculino,Elizabeth Aston,3.52,14379,1845,42
14817232,Femenino,Frannerd,4.26,631,132,42
2884780,Femenino,Malinda Lo,3.73,67763,9412,43
2622245,Masculino,Lao Tzu,4.31,96747,4078,43
1771,Masculino,Sun Tzu,3.97,262386,8436,43
3878,Femenino,Adeline Yen Mah,3.97,55044,4736,43
14007877,Femenino,Weina Dai Randel,3.91,3911,557,43
149093,Masculino,Zhuangzi,4.29,8225,353,43
231,Femenino,Jean Fritz,3.82,17838,2105,43
110519,Femenino,Tamar Myers,3.64,22191,1758,183
5438808,Femenino,Zrinka Jelic,4.2,286,181,52
4253534,Masculino,Valentina Heart,3.66,5471,679,52
297306,Masculino,Teresa Toten,3.68,8458,1526,52
12884,Femenino,Ali Vali,4.22,7871,485,53
6423161,Masculino,Martina Boone,3.94,4889,1117,182
4996938,Masculino,Yveta Germano,4.41,37,17,182
8722,Femenino,Else Holmelund Minarik,4.25,90845,1099,54
118712,Masculino,Martin Lindstrom,3.76,15255,1318,54
3009628,Masculino,أحمد العسيلي,3.41,10826,1129,57
1335181,Masculino,فاروق جويدة,3.95,27138,3611,57
345869,Masculino,Yusuf Idris,3.73,22295,2319,57
4413928,Masculino,حسام تمام,3.73,2549,434,57
5817486,Masculino,دينا عماد,3.28,13509,1353,57
6425980,Masculino,Amr Algendy - عمرو الجندي,3.1,13348,1807,57
6451512,Masculino,منى ياسين,3.7,256,30,57
6450590,Masculino,آية محمد حماد,3.77,523,76,57
1446295,Masculino,شريف عرفة,3.89,14506,1788,57
6522377,Masculino,إبراهيم الفقي,3.86,52134,3756,57
7314557,Masculino,هدى قنديل,2.62,201,82,57
3279601,Masculino,حسن الجندي,3.86,67841,7869,57
6924701,Masculino,سامح فايز,3.3,308,78,57
7352883,Masculino,هدى عبد المنعم,3.37,544,58,57
5107897,Masculino,إبراهيم المحلاوي,3.34,1048,140,57
6936817,Masculino,Tasneem Fehead,3.62,223,97,57
5500154,Masculino,شيرين سامي,3.68,934,168,57
6894757,Masculino,محمد إنسان,3.83,1301,115,57
3047053,Masculino,جلال عامر,4.2,5382,512,57
7729333,Masculino,محمد عصمت,3.2,9784,1558,57
1270368,Masculino,خالد أبو شادي,4.18,14074,1937,57
1846048,Masculino,رءوف شبايك,3.73,3401,456,57
71688,Masculino,Nalini Singh,4.19,832291,55505,70
6443115,Masculino,Petteri Hannila,4.09,242,64,69
5221828,Masculino,Susan Laine,3.41,5056,998,69
5437311,Masculino,Traxie,3.64,923,82,69
7169681,Femenino,Alison Kemper,4.03,355,135,65
29542,Femenino,Johanna Lindsey,3.99,370262,13338,3
3429117,Femenino,Julie Cross,3.87,34065,5249,3
5255580,Masculino,Toni Aleo,4.14,119744,10993,3
3074905,Masculino,Aleksandr Voinov,4.1,47724,9127,3
30703,Femenino,Judith Kerr,4.12,31812,1875,3
6590171,Masculino,Christoph Fischer,3.98,3135,876,3
6123144,Masculino,Robert Thier,4.53,37609,2571,3
5823355,Femenino,Sara Fawkes,3.88,56415,2836,3
2957043,Masculino,Maria Rachel Hooley,3.7,5929,415,3
6608,Femenino,Margret Rey,4.21,145779,2187,3
2749820,Femenino,Jae,4.13,20712,2147,3
695300,Femenino,Nina George,3.51,72126,11382,3
6427435,Masculino,Osiris Brackhaus,3.97,459,166,3
6606349,Masculino,Marko Kloos,4.1,64928,3501,3
8433369,Femenino,D.S. Wrights,3.84,2419,774,3
4853485,Masculino,Susann Julieva,4.32,362,71,3
5832198,Femenino,J. Keller Ford,4.05,223,123,3
14255708,Masculino,Lisa Rosenbecker,4.21,226,88,3
1141311,Masculino,Hans Keilson,3.66,2429,433,3
6940644,Femenino,Nadia Simonenko,3.84,3757,509,3
8334506,Femenino,Ana J. Phoenix,3.59,1251,304,3
3104347,Femenino,Monika Schröder,3.83,894,268,3
6421055,Femenino,Vanessa Wester,3.85,406,96,76
903,Masculino,Homer,3.79,1168672,17884,78
125792,Masculino,Euclid,4.29,3495,102,78
7271643,Masculino,Ben Philippe,4,212,86,89
1362751,Masculino,Francis Chan,4.14,192836,6883,43
3246397,Femenino,Jean Kwok,3.95,44832,5710,43
1605157,Femenino,Janice Y.K. Lee,3.42,29260,3988,43
14754830,Masculino,Vann Chow,3.59,136,27,43
3310143,Masculino,Felisblanco,4.2,1494,169,101
7427793,Masculino,D. Aswini,4.56,25,11,93
11014364,Femenino,Rati Mehrotra,3.69,1407,417,93
121292,Masculino,Dhan Gopal Mukerji,3.31,1940,190,93
3220448,Femenino,Varsha Dixit,3.66,3978,344,93
4343092,Masculino,Amish Tripathi,3.94,239486,12432,93
15322,Masculino,Indu Sundaresan,3.97,22417,2342,93
13654965,Masculino,Durgesh Satpathy,3.92,205,12,93
163176,Masculino,David Davidar,3.58,1637,162,93
186034,Masculino,Kālidāsa,3.88,1844,141,93
5894826,Masculino,Sameer Kamat,3.82,786,164,93
168903,Masculino,Rajashree,3.01,1378,55,93
4969048,Femenino,Nikita Singh,3.53,18663,1042,93
6697472,Masculino,Aporva Kala,4.14,341,115,93
2872571,Femenino,Preeti Shenoy,3.58,33963,2486,93
1354155,Masculino,Malayattoor Ramakrishnan,3.86,4490,200,93
5447823,Masculino,C. Radhakrishnan,3.91,1058,65,93
7085305,Femenino,Shobha Rao,3.82,9139,1579,93
14901967,Masculino,أبو الحسن علي الندوي,4.09,6115,767,93
492884,Masculino,Amit Ray,4.68,1283,298,93
29132,Masculino,Śāntideva,4.32,5415,142,93
274735,Masculino,Rebecca Ryman,4.05,1423,132,93
3221509,Femenino,Valerie Fitzgerald,4.12,1428,156,93
128353,Masculino,Ronald Hutton,4.12,3636,305,93
13499920,Masculino,Supraja I.R.,3.73,312,32,93
5833382,Masculino,Ajay Kansal,3.69,251,51,93
8337569,Masculino,R.V. Raman,4.04,609,134,93
7415461,Masculino,Tnahsin Garg,3.72,110,63,93
8559965,Masculino,Rahul Deokar,4.14,106,68,93
5107659,Masculino,Sri Chinmoy,4.47,657,38,93
2958717,Femenino,Melanie Benjamin,3.77,112446,15049,93
1441,Masculino,Ted Dekker,4.04,389664,23887,94
2865234,Masculino,علي أحمد باكثير,3.69,12665,1444,94
900615,Masculino,Maulana M. Syuhada,3.61,408,58,94
881687,Masculino,Linus Suryadi,3.89,839,78,94
637674,Masculino,Langit Kresna Hariadi,3.88,5658,523,94
647438,Masculino,Andrea Hirata,4.03,75863,7374,94
624095,Masculino,Ahmad Tohari,3.98,12000,1450,94
920483,Femenino,Ika Natassa,3.75,28556,3896,94
2104491,Masculino,Nilam Suri,3.83,1027,144,94
25926,Femenino,Firoozeh Dumas,3.84,21879,3392,96
3501390,Femenino,Tessa Afshar,4.36,15966,2052,96
4598939,Masculino,Shabnam Piryaei,4.03,10,3,96
28361,Masculino,Avi Shlaim,4.05,1252,96,95
138825,Femenino,Tana French,3.87,593969,53409,97
6551996,Femenino,Aoife Marie Sheridan,4.14,603,269,97
14080,Masculino,Colum McCann,3.91,126454,14531,97
4721654,Femenino,Julieanne Lynch,4.05,1059,447,97
4512899,Femenino,Lucinda Riley,4.16,112599,9685,97
6580373,Masculino,Shane K.P. O'Neill,4.48,1191,199,97
65391,Masculino,Herbie Brennan,3.74,29834,1316,97
1305376,Femenino,Gill McKnight,3.94,5536,438,97
6551743,Masculino,Kate Meader,3.95,22938,4688,97
101046,Masculino,Patrick Taylor,4.2,45071,5585,97
7787822,Masculino,Ashlinn Craven,3.92,408,113,97
49378,Femenino,Lynne Graham,3.61,82714,6196,97
7358493,Femenino,Audrey Magee,3.73,2497,471,97
6224,Masculino,John O'Donohue,4.38,10243,830,97
7258893,Masculino,Michael Barakiva,3.89,10450,975,116
5758946,Femenino,Uvi Poznansky,3.97,1613,636,116
12441,Masculino,Ori Brafman,3.78,24306,1610,116
45967,Femenino,Dora Levy Mossanen,3.26,3016,463,116
