id_editorial,editorial
1,43374
2,"""HP Trade"""
3,"""Tarcher"""
4,"[Atlanta, Ga.] : Audio Connoisseur"
5,─░leti┼ƒim Yay─▒nevi
6,┘å┘çÏÂÏ® ┘àÏÁÏ▒ ┘ä┘äÏÀÏ¿ÏºÏ╣Ï® ┘êÏº┘ä┘åÏ┤Ï▒ ┘êÏº┘äÏ¬┘êÏ▓┘èÏ╣
7,├ëditions 10/18
8,├ëditions de L'Olivier
9,├ëditions de Minuit
10,├ëditions du Rocher
11,µØ▒þ½ï
12,µÖéÕá▒Õç║þëê
13,1 7x
14,1500 Books LLC
15,1st Book Library
16,1st World Library
17,1st World Library - Literary Society
18,1st World Publishing
19,2.13.61
20,2.13.61 Publications
21,21 Publishing Ltd
22,21st Century Press
23,2mpower
24,3rd Woman Press
25,"498 Productions, LLC"
26,"4th Estate, Limited"
27,5Continents
28,826 Books
29,A & C Black (Childrens books)
30,"A Harvest Book  Harcourt, INC."
31,"A Harvest Book/Harcourt, Inc."
32,A K PETERS
33,A King Production
34,A Shannon Ravenel Book
35,A Stepping Stone Book
36,A&b Publishers Group
37,A&C  Black
38,A&C Black
39,A. Michel
40,A. Mondadori
41,A. Niggli
42,A. R. E. Press
43,A.R.E. Press (Association of Research & Enlightenment)
44,A2zpublications
45,AA Publishing
46,AA World Services
47,AAAI Press
48,Aardvark Press
49,Aarhus Universitetsforlag
50,Abacus
51,Abacus (UK)
52,Abacus Books
53,Abacus Books (London)
54,Abbeville Kids
55,Abbeville Press
56,Abbey Press
57,ABC-CLIO
58,ABDO & Daughters
59,Abdo Publishing
60,Abdo Publishing Company
61,Aberdeen University Press
62,Aberjona Press
63,Abigon Press
64,Abingdon
65,Abingdon Press
66,Abjad Book Designers & Builders
67,Ablex Publishing Corporation
68,Aboriginal Studies Press
69,About Comics
70,Abradale Books/Harry N. Abrams
71,Abraham Guillen Press
72,ABRAMS
73,Abrams Books for Young Readers
74,Absey & Company
75,Absolute Press
76,Abstract Studio
77,Abyss Publications
78,Academic Foundation
79,Academic Internet Publishers
80,Academic Press
81,Academica Press
82,Academy
83,Academy Chicago Publishers
84,Academy Press
85,Acadiensis Press
86,Acantilado
87,Acc Art Books
88,ACC Distribution
89,Access Ability Publishing
90,Accion Divulgativa Libros
91,"Accord, a division of Andrews McMeel Publishing"
92,Ace
93,Ace (The Berkley Publishing Group)
94,Ace Book
95,Ace Books
96,Ace Books (NY)
97,Ace Hardcover
98,Ace Trade
99,Ace/Berkley Books
100,ACMRS Press
101,ACMRS Publications
102,Acorn Books
103,Acr Edition
104,Acrobat Books
105,Acropolis Books (GA)
106,Acropolis Books (NY)
107,ACTA Publications
108,ACTA Universitatis Gothoburgensis
109,Actar
110,Actar D
111,Actes Sud
112,ACU Press/Leafwood Publishers
113,Adama Books
114,Adamant Media Corporation
115,Adamantine Press
116,Adams Media
117,Adams Media Corporation
118,Adamsking Publishing
119,Addicus Books
120,Addison Gallery of American Art
121,Addison Wesley
122,Addison Wesley Longman
123,Addison Wesley Publishing Company
124,Addison-Wesley
125,Addison-Wesley Professional
126,Adelphi
127,Adlard Coles Nautical
128,Adobe Press
129,Adonis & Abbey Publishers
130,Adrenaline Audiobooks
131,Adult
132,ADV Manga
133,Advanced Vivarium Systems
134,Advancement of Materials and Process Engineering
135,Advantage World Press
136,Advent Purple Press
137,Adventure Publications
138,Adventures Unlimited Press
139,Aegypan
140,AEI Press
141,Aerie
142,Africa Research and Publications
143,African American Images
144,Afton Historical Society Press
145,Agate B2
146,Agile Press
147,Agreka Books
148,Aguilar
149,"Aguilar, Altea, Taurus, Alfaguara, S.A. de C."
150,"Aguilar, Altea, Taurus, Alfaguara, S.A. de C.V. (Mexico)"
151,Ah Ha Publishing Company
152,AHA! Process
153,Ahmadiyya Anjuman Ishaat
154,Ahmadiyya Anjuman Ishaat Islam
155,AIAA (American Institute of Aeronautics & Astronautics)
156,AIT Planet Lar
157,AiT/Planet Lar
158,Ait/Planetlar
159,Aivia Press
160,AK Peters
161,AK Press
162,Akadine Press
163,Akal
164,Akal Ediciones
165,Akashic Books
166,Akashic Books/Punk Planet Books
167,Al Saadawi Publications
168,Aladdin
169,Aladdin Paperbacks
170,Alamah
171,Alan Cohen Publications
172,Alan Rodgers Books
173,Alan Sutton Publishing
174,Alan Wofsy Fine Arts
175,Alaska Native Language Center
176,Alaska Northwest Books
177,Alba
178,Alban Institute
179,Albany Institute of History and Art
180,Albert Ren├®
181,Albert Ren├® Editions
182,Albert Whitman  Company
183,Albert Whitman & Company
184,Alberto Santos
185,Albin Michel
186,Albuquerque Museum
187,Albury Publishing
188,Alcoholics Anonymous World Services Inc
189,Alderac Entertainment Group
190,Alderac Entertainment Group (AEG)
191,Aldrich Museum of Contemporary Art
192,Aletheia
193,Alfabeta Bokf├Ârlag
194,Alfaguara
195,Alfaguara Infantil
196,Alfaguara Juvenil
197,Alfaomega Grupo Editor
198,Alfred A Knopf
199,Alfred A. Knopf
200,Alfred A. Knopf Books for Young Readers
201,Alfred A. Knopf Borzoi Books
202,"Alfred A. Knopf, Inc."
203,"Alfred A. Knopf, Inc. (NY)"
204,Alfred A.Knopf
205,Alfred Music
206,Alfred Publishing Co.
207,"Alfred Publishing Co., Inc."
208,Alfred Publishing Company
209,ALGOL Press
210,Algonquin Books
211,Algonquin Books of Chapel Hill
